Year/Month;NoDur;Durbl;Manuf;Enrgy;HiTec;Telcm;Shops;Hlth ;Utils;Other
193111;-0.078394067;-0.009545413;-0.098274569;-0.082838278;-0.107807953;-0.148732054;-0.093981063;-0.094860281;-0.046253385;-0.147804195
193112;-0.141563564;-0.191039447;-0.201015199;-0.247692424;-0.212079979;-0.144910172;-0.227402608;-0.122280635;-0.136507245;-0.243728985
193201;0.062599142;0.082685367;0.062693069;0.085443482;0.065225785;-0.012275031;0.056758334;0.009752291;-0.021734492;0.140978593
193202;0.029170377;0.021859334;0.012817504;0.043251042;0.034787825;0.051738195;0.01202738;-0.017247893;0.054677561;0.015479571
193203;-0.07763727;-0.180203801;-0.131818575;-0.041655675;-0.167117723;-0.044369948;-0.17387731;-0.093102618;-0.110149744;-0.166645077
193204;-0.173401459;-0.285417971;-0.220397326;-0.131818575;-0.266573109;-0.228156093;-0.106361016;-0.146761381;-0.17697587;-0.205794913
193205;-0.17757285;-0.260196616;-0.228658732;-0.10325163;-0.218529214;-0.20383124;-0.251285857;-0.305167387;-0.350266948;-0.282893556
193206;0.074643543;0.040373894;0.050027494;0.021859334;0.065974989;-0.114289146;0.023423515;0.057136191;-0.002904213;0.013311014
193207;0.30910104;0.31889;0.384241472;0.390148404;0.37884731;0.263824736;0.216722984;0.268957863;0.313276717;0.445454756
193208;0.453937762;0.558128969;0.531098729;0.360119006;0.431717479;0.309027626;0.517781376;0.337471737;0.504405056;0.572503808
193209;-0.05108279;0.02810143;-0.064218572;-0.082186671;-0.081318521;0.018330957;-0.04019719;-0.028605257;-0.080993159;-0.080451124
193210;-0.145951055;-0.259548233;-0.202116184;-0.088612658;-0.207639365;-0.126243727;-0.160638346;-0.186450067;-0.148384006;-0.199671195
193211;-0.079151438;-0.077313103;-0.046148656;-0.045520515;-0.09145761;-0.012477522;-0.07063708;-0.038429027;-0.068064731;-0.108142159
193212;-0.022143365;-0.059431584;-0.035938107;-0.050661915;-0.023678127;-0.004811557;-0.058158914;-0.009242581;0.030044121;-0.042803122
193301;0.027712439;0.025765208;0.042772092;-0.01501212;0.05694728;-0.005515181;0.005286004;-0.014606152;-0.05847693;0.074179398
