time,node,obj,bestbound
1.2846946851951e13,194.0,1142.41,1085.21
1.2846947686589e13,195.0,1142.41,1085.21
1.284694891138e13,196.0,1142.41,1085.21
1.2846949618761e13,197.0,1142.41,1085.21
1.2846950330883e13,198.0,1142.41,1085.21
1.2846951048838e13,199.0,1142.41,1085.21
1.2846951835344e13,200.0,1142.41,1085.21
1.2846976693968e13,201.0,1142.41,1085.21
1.2846977334258e13,202.0,1142.41,1085.24
1.2846978005177e13,203.0,1142.41,1085.24
1.2846978871172e13,204.0,1142.41,1085.24
1.284697965075e13,205.0,1142.41,1085.24
1.284698047299e13,206.0,1142.41,1085.24
1.2846981512913e13,207.0,1142.41,1085.24
1.2846982278271e13,208.0,1142.41,1085.24
1.2846983574529e13,209.0,1142.41,1085.24
1.2846986739879e13,210.0,1142.41,1085.24
1.2846987658746e13,211.0,1142.41,1085.24
1.2846988659654e13,212.0,1142.41,1085.24
1.2846989507053e13,213.0,1142.41,1085.24
1.2846990313614e13,214.0,1142.41,1085.24
1.2846992343142e13,215.0,1142.41,1085.24
1.2846993130013e13,216.0,1142.41,1085.24
1.2846994153528e13,217.0,1142.41,1085.24
1.284699503265e13,218.0,1142.41,1085.24
1.2846995814781e13,219.0,1142.41,1085.24
1.284699675042e13,220.0,1142.41,1085.24
1.2846997524894e13,221.0,1142.41,1085.24
1.284699829098e13,222.0,1142.41,1085.24
1.2846999117231e13,223.0,1142.41,1085.24
1.2846999852689e13,224.0,1142.41,1085.24
1.2847000593617e13,225.0,1142.41,1085.24
1.2847002518861e13,226.0,1142.41,1085.24
1.284700432086e13,227.0,1142.41,1085.24
1.2847007946373e13,228.0,1142.41,1085.24
1.2847008909724e13,229.0,1142.41,1085.24
1.2847012612173e13,230.0,1142.41,1085.24
1.2847018661014e13,234.0,1142.41,1085.24
1.2847020367481e13,235.0,1142.41,1085.24
1.2847021206129e13,236.0,1142.41,1085.24
1.2847023054072e13,237.0,1142.41,1085.24
1.2847024312044e13,239.0,1142.41,1085.24
1.2847025139388e13,241.0,1142.41,1085.24
1.2847026127535e13,242.0,1142.41,1085.24
1.2847037268428e13,243.0,1142.41,1085.24
1.2847038143903e13,244.0,1141.35,1085.24
1.284703889577e13,245.0,1141.35,1085.24
1.2847039683005e13,246.0,1141.35,1085.24
1.2847040414087e13,247.0,1141.35,1085.24
1.2847041232681e13,248.0,1141.35,1085.24
1.2847041948814e13,249.0,1141.35,1085.24
1.2847042710525e13,250.0,1141.35,1085.24
1.2847044254731e13,251.0,1141.35,1085.24
1.2847044984355e13,252.0,1141.35,1085.24
1.2847045659284e13,253.0,1141.35,1085.24
1.2847046530385e13,254.0,1141.35,1085.24
1.2847047302306e13,255.0,1141.35,1085.24
1.2847048004947e13,256.0,1141.35,1085.24
1.2847048834844e13,257.0,1141.35,1085.24
1.2847049476592e13,258.0,1141.35,1085.24
1.2847050119434e13,259.0,1141.35,1085.24
1.284705076811e13,260.0,1141.35,1085.24
1.2847051536749e13,261.0,1141.35,1085.24
1.2847052911403e13,264.0,1141.35,1085.24
1.2847053911582e13,267.0,1141.35,1085.24
1.2847054754606e13,269.0,1141.35,1085.24
1.2847055628258e13,270.0,1141.35,1085.24
1.2847056466177e13,272.0,1141.35,1085.24
1.2847057195072e13,273.0,1141.35,1085.24
1.2847057906464e13,274.0,1141.35,1085.24
1.2847058593791e13,275.0,1141.35,1085.24
1.2847059254864e13,276.0,1141.35,1085.24
1.2847060022774e13,277.0,1137.84,1085.24
1.2847060621131e13,279.0,1137.84,1085.24
1.2847061398157e13,281.0,1137.84,1085.24
1.2847062146377e13,282.0,1137.84,1085.24
1.284706289642e13,283.0,1137.84,1085.24
1.2847063558952e13,284.0,1137.84,1085.24
1.2847064663415e13,285.0,1137.84,1085.24
1.284706534819e13,288.0,1137.84,1085.24
1.2847066053748e13,289.0,1137.84,1085.24
1.2847066728678e13,291.0,1137.84,1085.24
1.2847082633821e13,294.0,1137.84,1085.24
1.2847083409753e13,296.0,1137.84,1085.24
1.2847084328255e13,297.0,1137.71,1085.24
1.2847085289054e13,298.0,1137.71,1085.24
1.2847086123691e13,299.0,1137.71,1085.24
1.2847087887405e13,300.0,1137.71,1085.24
1.2847088748295e13,301.0,1137.71,1085.24
1.2847089640909e13,302.0,1137.71,1085.24
1.2847090507633e13,304.0,1137.71,1085.24
1.2847091265698e13,306.0,1137.71,1085.24
1.2847092107263e13,307.0,1137.71,1085.24
1.2847092918929e13,308.0,1137.71,1085.24
1.2847093675535e13,312.0,1137.71,1085.24
1.2847094385469e13,313.0,1137.71,1085.24
1.284709504399e13,314.0,1137.71,1085.24
1.2847095671882e13,315.0,1137.71,1085.24
1.2847096352646e13,316.0,1137.71,1085.24
1.2847097022106e13,317.0,1137.71,1085.24
1.2847098257471e13,320.0,1137.71,1085.24
1.2847099038872e13,321.0,1137.71,1085.24
1.2847100993652e13,322.0,1137.71,1085.24
1.2847101971588e13,323.0,1137.71,1085.24
1.2847103542777e13,324.0,1137.71,1089.61
1.284710456374e13,325.0,1137.71,1089.61
1.2847105582151e13,326.0,1137.71,1089.61
1.2847106624991e13,327.0,1137.71,1089.61
1.2847107732007e13,328.0,1137.71,1089.61
1.284711006199e13,331.0,1137.71,1089.61
1.2847111279853e13,332.0,1137.71,1089.61
1.2847112103187e13,333.0,1137.71,1089.61
1.2847112760614e13,334.0,1137.71,1089.61
1.2847113968632e13,335.0,1137.71,1089.61
1.2847114737636e13,336.0,1137.71,1089.61
1.2847115524871e13,339.0,1137.71,1089.61
1.2847116394148e13,340.0,1137.71,1089.61
1.2847117188676e13,343.0,1137.71,1089.61
1.2847117997789e13,344.0,1137.71,1089.61
1.2847118876182e13,345.0,1137.71,1089.61
1.2847120480552e13,346.0,1137.71,1089.61
1.2847121328681e13,347.0,1137.71,1089.61
1.2847122129407e13,348.0,1137.71,1089.61
1.2847122933051e13,349.0,1137.71,1089.61
1.2847123886922e13,350.0,1137.71,1089.61
1.2847124544714e13,351.0,1137.71,1089.61
1.2847125349816e13,352.0,1137.71,1089.61
1.284713641596e13,353.0,1137.71,1089.61
1.2847137781498e13,354.0,1137.71,1089.97
1.2847138597175e13,355.0,1137.71,1089.97
1.2847139335185e13,356.0,1137.71,1089.97
1.2847140039649e13,357.0,1137.71,1089.97
1.2847140736821e13,358.0,1137.71,1089.97
1.2847141471185e13,359.0,1137.71,1089.97
1.2847142408283e13,360.0,1137.71,1089.97
1.2847143528425e13,361.0,1137.71,1089.97
1.2847144402078e13,362.0,1137.71,1089.97
1.2847145199158e13,363.0,1137.71,1089.97
