"NoDur","Durbl","Manuf","Enrgy","HiTec","Telcm","Shops","Hlth","Utils","Other","Index","D12","E12","b.m","tbl","AAA","BAA","lty","ntis","Rfree","infl","ltr","corpr","svar","csp","CRSP_SPvw","CRSP_SPvwx","Ypos"
-7.47,-16.49,-12.35,-4.08,-15.39,-4.34,-15.96,-8.89,-10.43,-15.35,7.31,0.74,0.56,1.1858624454,0.0225,0.0498,0.0883,0.037,-0.0084155117,0.001875,-0.0070921986,-0.0018,0.0356,0.0134089221,0,-0.118907,-0.125245,6.46
-15.92,-24.83,-19.78,-12.35,-23.4,-20.4,-10.09,-13.65,-16.22,-18.6,5.83,0.7133,0.5433,1.5537278741,0.0111,0.0517,0.1046,0.0336,-0.0154750877,0.000925,-0.0071428571,0.0604,-0.0176,0.0198514127,0,-0.205295,-0.207637,2.96
57.45,74.74,70.08,43.35,53.99,36.21,67.83,40.14,65.6,77.27,8.39,0.6067,0.4767,1.1878075451,0.0014,0.0491,0.0822,0.0321,-0.0150632226,0.0001166667,-0.0073529412,3e-04,0.0436,0.0400193059,0,0.401979,0.394164,7.75
-4.98,2.85,-6.22,-7.89,-7.81,1.85,-3.94,-2.82,-7.78,-7.73,8.08,0.58,0.46,1.2143655674,3e-04,0.047,0.0761,0.0319,0.0007049814,2.5e-05,-0.0074074074,0.0057,0.0301,0.0432985662,0,-0.029526,-0.034118,36.22
-13.58,-22.86,-18.3,-8.48,-18.75,-11.86,-14.84,-17.01,-13.79,-18.1,6.96,0.5533,0.4433,1.4038772213,1e-04,0.0464,0.0787,0.0322,-0.0028734808,8.3333e-06,-0.0074626866,-0.0017,0.0074,0.0356447585,0,-0.142069,-0.143263,57.45
14.73,4.63,15.51,8.54,9.86,-1.54,17.79,5.31,-12.56,3.14,5.85,0.485,0.4175,1.476534296,0.0134,0.0468,0.0891,0.0321,-0.021882756,0.0011166667,-0.0078740157,0.0097,0.0047,0.037454111,0,0.038627,0.032581,2.81
46.49,81.29,61.6,60.58,50.54,19.21,64.61,34.64,45.53,65.74,9.64,0.475,0.4225,0.9283849733,0.0029,0.0463,0.0774,0.0308,-0.0030009102,0.0002416667,0,0.0303,0.0588,0.0119638328,0,0.174816,0.170167,14.73
22.82,32.34,20.44,21.85,16.12,12.65,24.68,9,20.45,22.65,10.91,0.47,0.425,0.8335031588,7e-04,0.0446,0.0707,0.0306,0.0007615701,5.83333e-05,0.0079365079,0.005,0.019,0.0198193625,0,0.137498,0.133994,53.81
-9.05,-13.2,-10.41,-14.29,-6.68,0.95,-12.9,-18.42,-17.24,-2.23,9.95,0.465,0.4275,0.9011788036,0.0019,0.0436,0.0662,0.0309,0.0027143126,0.0001583333,0.031496063,-0.0017,0.0161,0.0328680974,0,-0.084736,-0.085471,46.49
10.54,14.63,13.08,15.25,15.62,6.11,10.12,3.55,1.55,7.59,11.09,0.46,0.43,0.7987501221,1e-04,0.043,0.0677,0.0308,0.0021474203,8.3333e-06,0.0076335878,0.0044,0.0093,0.0118789641,0,0.123272,0.119807,22.82
-8.57,-13.39,-10.75,-9.68,-13.04,-7.82,-10.63,-4.94,-10.32,-11.62,8.96,0.45,0.435,0.9278584392,9e-04,0.0434,0.0749,0.0315,0.0034631395,7.5e-05,0,-0.0091,0.004,0.0276757704,0,-0.090623,-0.091588,10.54
27.04,39.71,29.73,31.14,35.4,13.45,36.97,28.57,28.15,35.82,11.17,0.4408,0.4442,0.7629173662,0.0072,0.0435,0.0701,0.0321,0.0035583231,6e-04,0,0.0257,0.0257,0.0066389099,0,0.115033,0.113644,3.57
1.34,-1.55,0.33,-3.06,3.36,-2.25,5.3,-1.9,-1.62,0.41,10.75,0.4425,0.4525,0.8025122121,0.0024,0.0413,0.0626,0.0307,0.0096063281,2e-04,0,0.0197,0.0187,0.0063725246,0,0.005355,0.002464,27.04
-8.27,-14.63,-12.7,-9.32,-8.7,-7.05,-12.88,-9.77,-10.79,-9.28,9.61,0.4442,0.4608,0.8563829787,0.0016,0.0401,0.0605,0.0292,0.0076523036,0.0001333333,0,0.0131,0.009,0.0073632004,0,-0.078497,-0.082255,1.34
1.76,-5.89,1.41,1.14,4.15,2.14,-0.07,1.4,2.71,-2.56,9.81,0.445,0.465,0.8407310705,0.0015,0.0393,0.0606,0.0289,0.00598278,0.000125,0.007518797,0.0067,0.0158,0.006894645,0,0.02408,0.021102,2.44
7.92,10.11,11.59,8.99,9.89,0.1,8.19,2.43,4.23,10.46,9.15,0.4467,0.4733,0.8668964032,0.0019,0.0393,0.0649,0.0299,0.0199590079,0.0001583333,0,-0.0118,0.0047,0.0065014472,0,0.05865,0.051629,1.76
-1.96,-1.32,-2.15,-4.16,-0.17,-4.45,5.63,1.82,-7.54,-4.7,8.81,0.4483,0.4817,0.8622536418,0.0027,0.039,0.064,0.03,0.0238994302,0.000225,-0.0073529412,0.0182,0.0102,0.004358161,0,-0.032663,-0.033732,7.92
-2.72,-7.51,-2.44,-0.43,-4.88,-3.15,-2.78,-1.53,-3.34,-4.35,9.1,0.45,0.57,0.791621595,0.002,0.0377,0.0598,0.0281,0.020999508,0.0001666667,0.0149253731,0.0182,0.0211,0.0022136038,0,-0.042368,-0.043755,10.97
-1.86,-5.54,-4.74,-3.56,-1.26,-3.7,-7.17,-1.05,-15.88,-9.3,8.74,0.45,0.65,0.7862863841,0.0019,0.0369,0.0595,0.0275,0.0147107813,0.0001583333,0.0073529412,0.0092,0.0141,0.0032799819,0,-0.03684,-0.04266,0.41
2.49,9.16,5.03,0.29,7.5,6.4,3.1,4.04,3.37,3.43,10.23,0.44,0.81,0.6818181818,0.0015,0.0361,0.0577,0.027,0.0193458521,0.000125,-0.0072463768,0.0092,0.0112,0.0028104575,0,0.070533,0.067124,6.43
5.06,20.63,14.45,2.68,14.94,8.57,10.66,10.04,15.39,9.88,11.08,0.44,0.7933,0.6393091975,0.0015,0.0356,0.0567,0.0268,0.0174097747,0.000125,0,0.0046,0.0111,0.0016800484,0,0.083814,0.082471,3.15
