All;Recession
0.418830218;
0.802273599;
0.77692993;
-0.069655991;
0.999440042;
0.067762531;
-0.046018468;
-0.209967629;
0.990121553;
0.527411648;
0.179830581;
0.743609338;
-0.247460043;
-0.530912267;
0.277872573;
-1.134550832;
-0.133339268;
0.006758366;
-0.047774907;
0.093675246;
0.018073151;
0.595678995;
-0.113715109;
0.443181574;
-0.187316762;
0.999980637;
0.47471659;
0.48825691;
0.619308778;
-0.43587585;
-0.419787061;
-0.119747912;
0.064567469;
0.99999542;
0.694907761;
-0.365091391;
-0.921260981;
-0.259947197;
-0.45006895;
0.247188022;
0.02026303;
0.112989258;
-0.117828094;
0.143772223;
0.40591332;
-0.599183806;
-0.583984841;
0.270333658;
-0.203211845;
0.884633824;
-0.231777673;
-0.272352941;
0.188608719;
0.992025951;
-2.035540137;
-0.681433227;
0.10976031;
-0.327039694;
0.514715497;
-1.335424997;
0.937311253;
0.171782847;
1.000001837;
-1.110986157;
0.313447161;
-0.944512371;
-0.370059996;
0.046507533;
0.211285644;
0.226720564;
0.395622598;
-0.022833986;
0.317929999;
0.489483821;
0.518905519;
0.169255612;
0.122272566;
0.161884673;
-0.086451162;
-0.435559771;
0.432365288;
0.798452839;
0.089733817;
-0.069276235;
0.425950969;
-0.01819934;
-0.057021459;
-0.349348584;
-0.425636064;
-0.297230072;
0.613497827;
0.578521791;
0.096456018;
-0.042575435;
0.047272433;
-0.25674016;
-0.174577063;
-0.268256878;
0.13657023;
0.206854483;
-0.359184042;
0.147893707;
-0.165391553;
-0.242881068;
0.984792971;
0.764802438;
-0.01591235;
-0.115961189;
0.290887857;
0.580940198;
-0.746375378;
0.286806097;
0.416392594;
0.771011234;
0.56882049;
0.988065039;
-0.292813104;
-0.002640039;
0.352720115;
0.846213805;
0.227490027;
-1.087518295;
0.791121598;
0.705213196;
0.982825739;
0.978021236;
-0.142651842;
0.295210973;
-0.188708089;
-0.034617453;
-0.317101049;
0.170613932;
0.029136821;
0.251954751;
0.049564972;
-0.321907019;
0.482748284;
0.232645447;
-0.032543839;
-0.211013293;
-1.036400836;
0.340591846;
-0.264069783;
-0.797095713;
-0.345985554;
-0.008686671;
0.366850021;
0.233247833;
-0.468814956;
0.045474389;
0.032915546;
-0.380160553;
0.431751867;
-0.122716891;
0.054251478;
0.043409947;
-0.076262735;
0.097153284;
0.99999275;
-1.684192273;
-0.054682945;
0.260058311;
-0.353654052;
-0.056299354;
0.443335238;
-0.910657161;
-0.012025377;
-0.249507432;
0.603491754;
-1.146382089;
-0.092277353;
0.991346195;
0.221960232;
0.361767458;
-0.291330496;
0.994002126;
-2.820348247;
-0.431895157;
0.296260892;
0.214872364;
0.044087697;
-0.109050145;
-0.130970237;
-0.606860861;
0.040182209;
0.989946155;
0.480747623;
-0.246277417;
-0.610012904;
-0.184068896;
0.154468455;
0.921081431;
0.228263473;
0.66784807;
0.043540206;
-0.161790762;
-0.219486456;
0.164409178;
0.861212497;
0.135077105;
0.887490826;
0.948686035;
-0.269975952;
-0.143158789;
0.326891959;
