0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
1.74;0.00042098;0.597218421;0.27497289;0.121078267;0.063806316;0.066113669;0.031006417;-0.000627402;0.094864251;0.012992109;0.407025143;0.199678951;0.308558566;0.12470857;0.141551359;0.274428445;-0.041859633;0.282043268;0.452446861;0.13591995
1.822;0.001357032;0.592378821;0.26587881;0.110932456;0.062881819;0.065488126;0.030506767;-0.000434068;0.088644322;0.011445517;0.398604929;0.186298802;0.302989013;0.119681179;0.131214654;0.257994067;-0.041859621;0.267685204;0.444588063;0.130603187
1.908;0.001072271;0.583224177;0.255692005;0.110561109;0.056180284;0.064609883;0.029901984;-0.000363356;0.081542036;0.010010957;0.389011583;0.170703157;0.296564477;0.114236147;0.120042006;0.242505537;-0.0418596;0.25182833;0.436111824;0.124648348
1.998;0.00071814;0.576883524;0.244403738;0.109895276;0.04790204;0.063429216;0.02919032;-0.00043795;0.07335322;0.008251794;0.378522681;0.152866195;0.289219029;0.108083726;0.107891949;0.22705576;-0.04185964;0.240095421;0.426510428;0.11784103
2.092;0.000294997;0.574394357;0.231869644;0.10872983;0.043732387;0.062086557;0.028316683;-0.000661916;0.064146496;0.006444581;0.366788915;0.134465816;0.280706928;0.1018899;0.094845629;0.210770363;-0.041859649;0.229785982;0.415564211;0.110122616
2.191;-0.000239391;0.571968531;0.218013147;0.106988901;0.051344248;0.060254035;0.027294498;-0.000670896;0.054537179;0.004562757;0.35432856;0.120138623;0.270850355;0.095067431;0.08523635;0.193137834;-0.041859612;0.219449634;0.403116767;0.10141401
2.295;-0.000795285;0.56870104;0.202587446;0.105012818;0.058773146;0.058319319;0.026101821;-0.000671375;0.044775989;0.002560725;0.340547217;0.105114127;0.260226349;0.0869341;0.078464258;0.173962559;-0.041859653;0.207494008;0.389004362;0.0915991
2.403;-0.001476889;0.564021606;0.185665217;0.111767677;0.063814156;0.055727569;0.024737036;-0.000671344;0.03363895;0.000413722;0.32498822;0.087899536;0.247654468;0.077906343;0.07180822;0.164228048;-0.041859652;0.195774706;0.373046492;0.080486314
2.517;-0.002275566;0.557775616;0.166844107;0.119754272;0.066644552;0.052862328;0.023105117;-0.000671378;0.02122801;-0.001877074;0.310708054;0.072167575;0.235666877;0.067867633;0.064536706;0.154548721;-0.041859653;0.182162973;0.355026955;0.067945606
2.635;-0.003222365;0.550675215;0.146056373;0.126173939;0.064579525;0.049556668;0.021258496;-0.000671378;0.015927743;-0.004321399;0.302662225;0.06720669;0.223026623;0.056777291;0.056615161;0.145035266;-0.041859492;0.167140331;0.335909041;0.056575297
2.76;-0.004245214;0.545031119;0.12300566;0.131045005;0.062190672;0.046407874;0.019152111;-0.00067138;0.012156374;-0.006945048;0.295056865;0.062191606;0.2095442;0.047887877;0.047939727;0.134558206;-0.041859655;0.149236482;0.314838864;0.045689027
2.89;-0.005450721;0.540291205;0.097708054;0.135213885;0.059237246;0.042839777;0.017240762;-0.00067138;0.007937588;-0.009725727;0.286709518;0.056379291;0.200470386;0.041093925;0.041155972;0.123013803;-0.041859558;0.128961622;0.291244635;0.033433988
3.027;-0.006836903;0.534814705;0.084599922;0.138781797;0.055711254;0.038732949;0.015168049;-0.000671371;0.003227282;-0.012739694;0.277783943;0.049841357;0.190844117;0.033756025;0.03521506;0.110033028;-0.041859653;0.117962297;0.267622589;0.019817059
3.17;-0.008378992;0.528764794;0.074304668;0.138347547;0.051951228;0.034006314;0.012801707;-0.00067136;-0.00202832;-0.013759003;0.267466188;0.048794199;0.180482691;0.025766508;0.0285446;0.096449873;-0.041859577;0.109476019;0.241601782;0.007508472
3.319;-0.010140126;0.524696493;0.066317054;0.142667023;0.047924307;0.028535815;0.010245416;-0.000671371;-0.005253009;-0.0137615;0.256385887;0.047735988;0.168880467;0.018258725;0.021300454;0.08835302;-0.04185948;0.108057827;0.212070499;-0.004982733
3.476;-0.012133722;0.52061852;0.060259883;0.148550451;0.043582827;0.02237305;0.007384633;-0.00067136;-0.005253011;-0.013761111;0.244248725;0.046460369;0.156530865;0.01717573;0.014111158;0.079483171;-0.041859639;0.106287179;0.179489242;-0.006432972
