0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
1.661;-0.168046488;-2.57081604;0.04141064;-1.406317648;-0.235339229;-0.033243378;-0.37669393;-0.090786835;-0.006085143;-0.203285952;-0.942574243;-1.196167553;-0.199784386;0.047519171;0.132905165;-1.063058514;-0.001707261;0.085006473;-0.470290256;-0.058940963
1.74;-0.164362836;-2.406788707;0.042428068;-1.4151273;-0.232334178;-0.032113949;-0.379280202;-0.093916199;0.009270272;-0.205769376;-0.920085224;-1.066696772;-0.19096028;0.038720658;0.125500701;-1.013836043;-0.001713413;0.071703041;-0.450268942;-0.056191158
1.822;-0.162469898;-2.286783823;0.041198187;-1.422722425;-0.233910172;-0.031105475;-0.381941955;-0.097271174;0.023455797;-0.208382138;-0.898116077;-0.933021893;-0.184679801;0.028289094;0.11628541;-0.962166704;-0.001713403;0.057136552;-0.429854637;-0.053616341
1.908;-0.161618926;-2.170086562;0.039189134;-1.42270857;-0.239017919;-0.030318749;-0.384730829;-0.100837789;0.036324576;-0.210780059;-0.876794282;-0.808727087;-0.180837215;0.01618547;0.105576342;-0.913926563;-0.001713394;0.041360157;-0.410319309;-0.051379525
1.998;-0.160749171;-2.078549559;0.036912352;-1.423069211;-0.246316331;-0.030144793;-0.387781708;-0.104767591;0.04764254;-0.213681098;-0.856797064;-0.694198982;-0.179960277;0.00278118;0.093300831;-0.866020093;-0.001713418;0.030784678;-0.394751255;-0.049459207
2.092;-0.159868161;-1.955717463;0.034235391;-1.423034736;-0.250484338;-0.035525782;-0.390918863;-0.108669328;0.059737899;-0.216626607;-0.837553297;-0.580672117;-0.182081185;-0.010743528;0.07939042;-0.807878768;-0.001713427;0.025146357;-0.380062264;-0.047874556
2.191;-0.158938472;-1.83137505;0.03138735;-1.424032785;-0.238810323;-0.042522437;-0.394218083;-0.108786798;0.073179884;-0.219655064;-0.818764072;-0.492703057;-0.188892327;-0.025663926;0.062384622;-0.747559773;-0.001713404;0.022182972;-0.366290938;-0.046759988
2.295;-0.158066604;-1.713940249;0.028076174;-1.425141152;-0.227650095;-0.050471058;-0.397702062;-0.108793109;0.076743201;-0.222835879;-0.802569391;-0.418502478;-0.198442237;-0.039736031;0.04379814;-0.685298678;-0.001713429;0.018621117;-0.353647889;-0.046169681
2.403;-0.157171338;-1.619402195;0.024373641;-1.433406446;-0.212091153;-0.059300662;-0.40131035;-0.108792478;0.07915644;-0.226202394;-0.788762088;-0.35264625;-0.213634826;-0.05572847;0.025734269;-0.639298129;-0.001713429;0.019238903;-0.342509003;-0.046084125
2.517;-0.15623656;-1.54318233;0.020160484;-1.440825708;-0.204706723;-0.069597403;-0.405233921;-0.108793119;0.07992369;-0.22974601;-0.796244114;-0.313786522;-0.221768118;-0.073810518;0.006173637;-0.602857505;-0.001713429;0.020710511;-0.332923384;-0.046733655
2.635;-0.155307692;-1.471781682;0.015435889;-1.453117166;-0.19850191;-0.081114967;-0.409231481;-0.108793121;0.0660756;-0.233475091;-0.810449053;-0.291406036;-0.229682468;-0.09459206;-0.015050469;-0.579905272;-0.001713358;0.021902257;-0.312346842;-0.046480907
2.76;-0.154409134;-1.371160136;0.010151786;-1.484281003;-0.191846963;-0.095357091;-0.413440356;-0.108793164;0.045784566;-0.237421229;-0.826768143;-0.269684223;-0.240146533;-0.106960882;-0.038094162;-0.556194038;-0.00171343;0.022081261;-0.289276377;-0.045180571
2.89;-0.153503357;-1.251035147;0.004262301;-1.518238291;-0.187410643;-0.111507205;-0.414309129;-0.108793164;0.021476454;-0.241543334;-0.840939882;-0.249523568;-0.234844792;-0.110256207;-0.064526929;-0.53126328;-0.001713371;0.021582386;-0.268323449;-0.044429992
3.027;-0.152607971;-1.15134841;0.007331123;-1.55415457;-0.189703617;-0.129560644;-0.41508792;-0.108793109;-0.007316601;-0.245945358;-0.855968917;-0.230730505;-0.230373103;-0.114134629;-0.09402936;-0.510365749;-0.001713429;0.018612893;-0.245060135;-0.044130682
3.17;-0.151734544;-1.058776335;0.011438403;-1.607923346;-0.19136692;-0.149666732;-0.415971792;-0.108792917;-0.041146029;-0.247419306;-0.871925587;-0.215434275;-0.227743714;-0.118734064;-0.126073219;-0.479471948;-0.001713393;0.017009348;-0.227497248;-0.042901363
3.319;-0.150895409;-0.977423982;0.01651433;-1.623845372;-0.193376635;-0.172102316;-0.416919832;-0.108793118;-0.062660462;-0.247422908;-0.888781041;-0.200218637;-0.225901604;-0.122785436;-0.160283689;-0.413708398;-0.001713344;0.020669877;-0.216580994;-0.041474329
3.476;-0.150083927;-0.897710726;0.022968782;-1.627783078;-0.195358565;-0.197272422;-0.417974376;-0.108792912;-0.0626605;-0.24742236;-0.90712447;-0.184648141;-0.226625212;-0.119420142;-0.195690945;-0.349379076;-0.001713424;0.024059618;-0.214306137;-0.039087259
3.64;-0.149320728;-0.818265823;0.029632005;-1.639826128;-0.197437068;-0.22538099;-0.419133555;-0.108793066;-0.06266072;-0.247421209;-0.926683295;-0.168962284;-0.229525482;-0.115973887;-0.221860081;-0.286341063;-0.001713408;0.027230861;-0.221108132;-0.036825477
3.812;-0.148599737;-0.739410316;0.035892778;-1.644533361;-0.199623691;-0.255551357;-0.420406458;-0.108793164;-0.062660757;-0.247421991;-0.947906686;-0.1531853;-0.235135803;-0.112354809;-0.245552067;-0.224791577;-0.001713428;0.030098354;-0.217193287;-0.034271262
3.992;-0.147958925;-0.661651339;0.037193572;-1.624839347;-0.201897558;-0.285525734;-0.421807246;-0.10879314;-0.06266074;-0.247422902;-0.967331343;-0.137325661;-0.244434075;-0.108763115;-0.261737954;-0.166298979;-0.001713429;0.032599958;-0.212387148;-0.031819991
4.181;-0.147722922;-0.584861651;0.034810855;-1.604683522;-0.204303139;-0.287046309;-0.422185717;-0.108793087;-0.06266076;-0.247422935;-0.992829487;-0.121559597;-0.256231289;-0.105042664;-0.280003699;-0.111425691;-0.00171343;0.034675017;-0.20810534;-0.029350127
